ISBN,EDITORIAL,TITULO,AUTOR/COLABORADOR,FORMATO,SEMESTRE,AÑO
978-9945-22-067-4,"EDITORA BUHO, S.R.L.",LA PERLA OCULTA,"DURAN DE GONZALEZ, VIOLA - REPUBLICA DOMINICANA (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-22-068-1,"EDITORA BUHO, S.R.L. ",UN PASAJE DE IDA,"MELENDEZ, AGLIBERTO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-99934-31-57-2,BIBLIOTECA NACIONAL PEDRO HENRIQUEZ UREÑA ,EL LIBERALISMO DOMINICANO EN LOS SIGLOS XIX Y XX,"FERNANDEZ DE LA CRUZ, PEDRO PABLO (COMPILADOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-617-86-3,EDITORIAL SANTUARIO ,TEMAS Y OPINIONES,"FERNANDEZ, LUIS (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-564-7,"HELVE, GARDY ",JESUS THE ETERNAL COUNSELOR,"GOMEZ DE DIAZ, SONIA I (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9209-8-7,EDITORA POETAS DE LA ERA ,DESTITULADO,"GARCIA SENA, MARIA CRISALIDA (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-587-22-7,EDICIONES FUNDACION JUAN BOSCH ,CUENTO DE NAVIDAD  (ILUSTRADO),"BOSCH, JUAN (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9251-5-9,FUNDACION FRIEDRICH EBERT ,EL CUIDADO DE LA VIDA COMO OBJETO DE INVESTIGACION SOCIAL ,"ROMERO ALMODOVAR, MAGELA (COMPILADOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-8838-2-4,SOCIEDAD CULTURAL RENOVACION,ARCOIRIS DE PALABRAS,"GRIMALDI SILIE, ELEANOR (PROLOGUISTA); CASTILLO, RAFAEL (ILUSTRADOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-8838-3-1,SOCIEDAD CULTURAL RENOVACION ,EN LOS CAMPOS DE MI MENTE,"RAMOS, EMELDA (PROLOGUISTA); CASTILLO, RAFAEL (ILUSTRADOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-610-31-4,TRIBUNAL CONSTITUCIONAL DE LA REPUBLICA DOMINICANA ,LA CONSTITUCIONALIDAD DEL DERECHO DE PROPIEDAD Y EL SISTEMA INMOBILIARIO REGISTRAL DE LA REPUBLICA DOMINICANA,"GOMEZ RAMIREZ, WILSON (AUTOR); TEJADA, LEONOR (COORDINADOR EDITORIAL); CASADO MEJIA, YISSEL (DISEÑADOR); READ, ENRIQUE (DISEÑADOR); RAY GUEVARA, MILTON (PROLOGUISTA)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-8838-4-8,SOCIEDAD CULTURAL RENOVACION,ASI VEMOS EL MUNDO,"LLANOS, GABRIELA (PROLOGUISTA); ULLOA, ANDRES (PROLOGUISTA); CASTILLO, RAFAEL (ILUSTRADOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-610-32-1,TRIBUNAL CONSTITUCIONAL DE LA REPUBLICA DOMINICANA ,EL TRIBUNAL CONSTITUCIONAL  DOMINICANO Y LOS PROCESOS CONSTITUCIONALES,"ACOSTA, HERMOGENES (AUTOR); TEJADA, LEONOR (COORDINADOR EDITORIAL); CASADO MEJIA, YISSEL (DISEÑADOR); READ, ENRIQUE (DISEÑADOR); RAY GUEVARA, MILTON (PROLOGUISTA)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-8838-5-5,SOCIEDAD CULTURAL RENOVACION,IDEAS EN MOVIMIENTO,"CHEVALIER, NAN (PROLOGUISTA); CASTILLO, RAFAEL (ILUSTRADOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-610-33-8,TRIBUNAL CONSTITUCIONAL DE LA REPUBLICA DOMINICANA ,EL CONTROL DE LAS POLITICAS PUBLICAS SOCIALES POR PARTE DE LOS TRIBUNALES CONSTITUCIONALES,"CABRAL BREA, MAYRA (AUTOR); TEJADA, LEONOR (COORDINADOR EDITORIAL); CASADO MEJIA, YISSEL (DISEÑADOR); READ, ENRIQUE (DISEÑADOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-8838-6-2,SOCIEDAD CULTURAL RENOVACION,QUIMERAS DE MI ADOLESCENCIA,"CHEVALIER, NAN (PROLOGUISTA); CASTILLO, RAFAEL (ILUSTRADOR)",IMPRESO,JULIO-DICIEMBRE,2020
